Wavelength (nm)	N13 abs N
505.50	0.36847
505.75	0.37111
506.00	0.37359
506.25	0.37803
506.50	0.37944
506.75	0.38423
507.00	0.38586
507.25	0.39113
507.50	0.39629
507.75	0.39882
508.00	0.40343
508.25	0.40690
508.50	0.41304
508.75	0.41694
509.00	0.42072
509.25	0.42715
509.50	0.42923
509.75	0.43554
510.00	0.44304
510.25	0.44638
510.50	0.45023
510.75	0.45856
511.00	0.46467
511.25	0.47093
511.50	0.47657
511.75	0.48316
512.00	0.48898
512.25	0.49402
512.50	0.50297
512.75	0.51077
513.00	0.51735
513.25	0.52395
513.50	0.52997
513.75	0.53822
514.00	0.54358
514.25	0.55321
514.50	0.56085
514.75	0.56807
515.00	0.57606
515.25	0.58760
515.50	0.59815
515.75	0.60788
516.00	0.61850
516.25	0.62814
516.50	0.63721
516.75	0.64610
517.00	0.65454
517.25	0.66260
517.50	0.67142
517.75	0.68227
518.00	0.69048
518.25	0.69851
518.50	0.70655
518.75	0.71487
519.00	0.72607
519.25	0.73060
519.50	0.74272
519.75	0.75141
520.00	0.75989
520.25	0.76987
520.50	0.77774
520.75	0.78555
521.00	0.79807
521.25	0.80837
521.50	0.81411
521.75	0.82266
522.00	0.82965
522.25	0.83778
522.50	0.84871
522.75	0.85403
523.00	0.86328
523.25	0.87416
523.50	0.88104
523.75	0.88547
524.00	0.89584
524.25	0.90503
524.50	0.91135
524.75	0.91818
525.00	0.92260
525.25	0.93164
525.50	0.93950
525.75	0.94372
526.00	0.94800
526.25	0.95186
526.50	0.95986
526.75	0.96420
527.00	0.96724
527.25	0.97368
527.50	0.97882
527.75	0.98430
528.00	0.98419
528.25	0.98591
528.50	0.99420
528.75	0.99487
529.00	0.99949
529.25	0.99920
529.50	0.99956
529.75	1.0000
530.00	0.99953
530.25	0.99848
530.50	0.99913
530.75	0.99566
531.00	0.99601
531.25	0.99392
531.50	0.99327
531.75	0.99011
532.00	0.98656
532.25	0.98361
532.50	0.97911
532.75	0.97671
533.00	0.97041
533.25	0.96437
533.50	0.95956
533.75	0.94812
534.00	0.94740
534.25	0.94280
534.50	0.93684
534.75	0.92667
535.00	0.91961
535.25	0.90985
535.50	0.90122
535.75	0.89273
536.00	0.88002
536.25	0.87115
536.50	0.85931
536.75	0.84892
537.00	0.83884
537.25	0.82572
537.50	0.81370
537.75	0.80056
538.00	0.78959
538.25	0.77539
538.50	0.76529
538.75	0.75153
539.00	0.73615
539.25	0.72288
539.50	0.70678
539.75	0.69491
540.00	0.68161
540.25	0.66714
540.50	0.65361
540.75	0.63827
541.00	0.62498
541.25	0.60966
541.50	0.59762
541.75	0.58123
542.00	0.56926
542.25	0.55590
542.50	0.54242
542.75	0.52855
543.00	0.51551
543.25	0.50258
543.50	0.48738
543.75	0.47719
544.00	0.46325
544.25	0.45135
544.50	0.43947
544.75	0.42445
545.00	0.41323
545.25	0.40273
545.50	0.39231
545.75	0.37845
546.00	0.36924
546.25	0.35708
546.50	0.34769
546.75	0.33853
547.00	0.32512
547.25	0.31575
547.50	0.30647
547.75	0.29751
548.00	0.28778
548.25	0.27734
548.50	0.26938
548.75	0.26044
549.00	0.25298
549.25	0.24254
549.50	0.23432
549.75	0.22671
550.00	0.21781
550.25	0.21096
550.50	0.20227
550.75	0.19792
551.00	0.19101
551.25	0.18446
551.50	0.17773
551.75	0.16883
552.00	0.16491
552.25	0.15752
552.50	0.15263
552.75	0.14617
553.00	0.14090
553.25	0.13643
553.50	0.13111
553.75	0.12763
554.00	0.12244
554.25	0.11819
554.50	0.11377
554.75	0.10779
555.00	0.10374
555.25	0.10017
555.50	0.095315
555.75	0.090159
